Date,Close_Splits,Volume_Splits,Open_Splits,High_Splits,Low_Splits,Open_NoSplits,High_NoSplits,Low_NoSplits,Close_NoSplits,Volume_NoSplits,Daily_Return,Price_Range,Price_Change,Profit
2020-02-28, $273.36,106721200, $257.26, $278.41, $256.37,62.21884455259078,67.33401260273769,62.0035927413547,66.11265563964844,426510000,-0.0584735429707827,5.330419861382985,3.893811087057657,True
2020-02-27, $273.52,80151380, $281.1, $286, $272.96,67.9845784168311,69.16965138753342,66.01590018074076,66.15133666992188,320605600,-6.5368360563547885,3.1537512067926627,-1.8332417469092237,False
2020-02-26, $292.65,49678430, $286.53, $297.88, $286.5,69.29784412586203,72.0428654399997,69.29058886204834,70.7779769897461,198054800,1.586374980412586,2.7522765779513634,1.4801328638840658,True
2020-02-25, $288.08,57668360, $300.95, $302.53, $286.13,72.78534740458967,73.16747023858986,69.20109972929876,69.6727066040039,230673600,-3.3872446471837514,3.966370509291096,-3.1126408005857655,False
2020-02-24, $298.18,55548830, $297.26, $304.18, $289.23,71.8929330165793,73.56654484289926,69.950861613102,72.11543273925781,222195200,-4.75002650223324,3.615683229797256,0.2224997226785063,True
2020-02-21, $313.05,32426420, $318.62, $320.45, $310.5,77.05887881173565,77.5014720805536,75.09504186089677,75.71176147460938,129554000,-2.263501405473589,2.4064302196568264,-1.347117337126278,False
2020-02-20, $320.3,25141490, $322.63, $324.65, $318.21,78.0287063254119,78.51724467318775,76.95971731481961,77.4651870727539,100566000,-1.025913163214709,1.5575273583681335,-0.5635192526579971,False
2020-02-19, $323.62,23495990, $320, $324.57, $320,77.39264718918032,78.49791270322793,77.39264718918032,78.26815032958984,93984000,1.4482444766340308,1.105265514047602,0.8755031404095206,True
2020-02-18, $319,38190550, $315.36, $319.75, $314.61,76.27047270748963,77.33220694132359,76.08908363725979,77.15081787109375,152531200,-1.8310202075075943,1.2431233040638006,0.8803451636041189,True
2020-02-14, $324.95,20028450, $324.74, $325.98, $322.85,78.53901899642953,78.83892050632156,78.08192253766144,78.58981323242188,80113600,0.0246543511434049,0.7569979686601158,0.0507942359923418,True
2020-02-13, $324.87,23686890, $324.19, $326.22, $323.35,78.4059846442796,78.89694380995043,78.20282989097468,78.57044219970703,94747600,-0.7121405673793046,0.694113918975745,0.1644575554274325,True
2020-02-12, $327.2,28432570, $321.47, $327.22, $321.47,77.7481726332658,79.13882181030785,77.7481726332658,79.13398742675781,113730400,2.3747770105666977,1.3906491770420502,1.3858147934920169,True
2020-02-11, $319.61,23580780, $323.6, $323.9, $318.71,78.26331921379253,78.33587187126635,77.08065923180118,77.29832458496094,94323200,-0.6033173477503428,1.2552126394651708,-0.9649946288315904,False
2020-02-10, $321.55,27337220, $314.18, $321.55, $313.85,75.9850613598187,77.76750946044922,75.90525344548281,77.76750946044922,109348800,0.4749550983892625,1.8622560149664056,1.7824481006305175,True
2020-02-07, $320.03,29421010, $322.37, $323.4, $318,77.96582750464246,78.2149347676415,76.90893545307632,77.39989471435547,117684000,-1.3592929109957796,1.3059993145651705,-0.5659327902869933,False
2020-02-06, $325.21,26356390, $322.57, $325.22, $320.2648,77.82951018159336,78.46889922045179,77.27215526816731,78.46648406982422,105425600,1.1697205358294216,1.1967439522844785,0.6369738882308553,True
2020-02-05, $321.45,29706720, $323.52, $324.76, $318.95,78.0587002140709,78.35789164403798,76.95605907395962,77.55925750732422,118826800,0.8154611950332624,1.401832570078355,-0.4994427067466773,False
2020-02-04, $318.85,34154130, $315.31, $319.64, $313.6345,76.07777685481715,77.12252036593104,75.67242939074868,76.9319076538086,136616400,3.301299910145783,1.4500909751823627,0.8541307989914486,True
2020-02-03, $308.66,43496400, $304.3, $313.49, $302.22,73.42133771869904,75.63869657493804,72.91947967499588,74.47332000732422,173788400,-0.274574303069508,2.719216899942154,1.051982288625183,True
2020-01-31, $309.51,49897100, $320.93, $322.68, $308.29,77.43377343365503,77.85601226019499,74.38400653828495,74.6783676147461,199588400,-4.433891774557452,3.472005721910037,-2.7554058189089403,False
